d_id,name,specialty,office,qualification,email,contact_number
1,Merina Gautam,Pediatrics,8,MBBS,merina@gmail.com,1234567890
2,Harrison Ford,Orthopedics,2,MBBS,harrison@gmail.com,1234567890
3,Johnny Depp,Surgery,3,MD,johnny@gmail.com,1234567890
4,Will Smith,Cardiology,4,MBBS,will@gmail.com,1234567890
5,NC,NC,NC,NC,nc@gmail.com,1234567890
6,Eva Smith,Physician,6,MD,eva@gmail.com,1234567890
7,Kevin Bacon,Radiology,7,MBBS,kevin@gmail.com,1234567890
8,Sofia Swanson,Nursing,8,BN,sofia@gmail.com,1234567890
9,Kamala Nepal,Teacher,99,Masters,kamal@gmail.com,1234567890
10,Bell Griffin,Neurology,10,MD,bell@gmail.com,1234567890
8289,merina,merna,90,merina,dsjdlsjldsf,0909
